nerc,year,final co2 (kg),generation (mwh),index (g/kWh)
FRCC,2017,93809241844.63466,228774928.11799347,410.0503609217676
MRO,2017,118534577492.92152,217264012.91757363,545.5785148269888
NPCC,2017,39140124780.77478,226506321.28216603,172.79926034389433
RFC,2017,408662347364.05084,885182528.6484894,461.67014614263
SERC,2017,453954704001.7518,1067617255.4577265,425.2036033335981
SPP,2017,113251304459.8701,230692557.96795928,490.9187598309933
TRE,2017,169358686171.14813,385360584.3796497,439.4810809304235
WECC,2017,247027270174.01562,713323547.382442,346.30466228191705
